id,name,area,address,phone,food,pricerange,type
269,Chocho’s,centre,1815 Massachusetts Ave,unknown,korean,moderate,restaurant
68,One Ramen & Sushi,centre,1759 Massachusetts Ave,unknown,japanese,moderate,restaurant
235,Hot Eastern,centre,42 Beach St,unknown,chinese,moderate,restaurant
286,&pizza,north,Opened 2 months ago,(202) 839-8576,modern american,moderate,restaurant
85,Fuku Boston Seaport,east,43 Northern Ave,(617) 221-5102,north american,moderate,restaurant
158,75 Chestnut,centre,75 Chestnut St,(617) 227-2175,modern american,moderate,restaurant
174,Grotto,centre,37 Bowdoin St,(617) 227-3434,italian,moderate,restaurant
185,Boston Sail Loft,north,80 Atlantic Ave,(617) 227-7280,north american,moderate,restaurant
191,Parish Cafe and Bar,centre,361 Boylston St,(617) 247-4777,bistro,expensive,restaurant
56,Bricco,north,241 Hanover St,(617) 248-6800,italian,moderate,restaurant
139,Bricco,north,241 Hanover St,(617) 248-6800,italian,moderate,restaurant
84,Saus,centre,33 Union St,(617) 248-8835,north american,expensive,restaurant
163,Saus,centre,33 Union St,(617) 248-8835,north american,moderate,restaurant
300,Fuji At Kendall,east,300 3rd St,(617) 252-0088,japanese,cheap,restaurant
202,Punjab Palace,west,109 Brighton Ave,(617) 254-1500,indian,moderate,restaurant
20,The Smoke Shop BBQ - Seaport,east,343 Congress St,(617) 261-7427,modern american,moderate,restaurant
157,Pho Basil,centre,177 Massachusetts Ave,(617) 262-5377,vietnamese,cheap,restaurant
175,The Capital Grille,centre,900 Boylston St,(617) 262-8900,steakhouse,moderate,restaurant
81,Barcelona Wine Bar South End,south,525 Tremont St,(617) 266-2600,spanish,moderate,restaurant
114,Barcelona Wine Bar South End,south,525 Tremont St,(617) 266-2600,spanish,moderate,restaurant
155,Yvonne’s,centre,2 Winter Pl,(617) 267-0047,modern american,cheap,restaurant
108,Saltie Girl,centre,281 Dartmouth St,(617) 267-0691,seafood,moderate,restaurant
122,Atlantic Fish Co,centre,761 Boylston St,(617) 267-4000,seafood,moderate,restaurant
100,L Street Diner & Pizzeria,south,108 L St,(617) 268-1155,north american,moderate,restaurant
80,Seapoint Restaurant,south,367 E 8th St,(617) 268-1476,north american,moderate,restaurant
65,Ethel and Andy’s Sandwich Shop,south,134 K St,(617) 268-3027,bistro,cheap,restaurant
63,Sullivan’s,south,2080 Day Blvd,(617) 268-5685,north american,expensive,restaurant
43,Mul’s Diner,south,75 W Broadway,(617) 268-5748,north american,moderate,restaurant
62,The Junction,south,110 Dorchester St,(617) 268-6429,north american,expensive,restaurant
31,Alfredo’s Italian Kitchen - South Boston,south,243 Dorchester St,(617) 268-8939,italian,cheap,restaurant
91,Lithuanian Kitchen,south,368 W Broadway,(617) 268-9058,modern european,moderate,restaurant
25,Cafe Polonia,south,611 Dorchester Ave,(617) 269-0110,polish,moderate,restaurant
94,Rondo’s Sub Shop,south,134 W Broadway,(617) 269-0274,bistro,expensive,restaurant
67,Local 149,south,149 P St,(617) 269-0900,north american,moderate,restaurant
52,American Provisions,south,613 E Broadway,(617) 269-6100,north american,expensive,restaurant
49,Cafe Porto Bello,south,672 E Broadway,(617) 269-7680,italian,moderate,restaurant
92,Doughboy Donuts & Deli,south,220 Dorchester Ave,(617) 269-8741,north american,moderate,restaurant
93,Shenannigans Bar,south,332 W Broadway,(617) 269-9509,north american,moderate,restaurant
21,Mirisola’s,south,200 L St,(617) 269-9701,italian,cheap,restaurant
198,CAVA,centre,1346 Boylston St,(617) 286-8872,mediterranean,expensive,restaurant
200,CAVA,centre,669 Boylston St,(617) 286-8927,mediterranean,moderate,restaurant
59,Tuscan Kitchen,east,64 Seaport Blvd,(617) 303-7300,italian,moderate,restaurant
276,Café du Pays,centre,Large Party Booking,(617) 314-7297,french,moderate,restaurant
39,Legal Test Kitchen,east,225 Northern Ave,(617) 330-7430,modern american,moderate,restaurant
38,Flour Bakery + Café,east,12 Farnsworth St,(617) 338-4333,north american,expensive,restaurant
160,Jm Curley,centre,21 Temple Pl,(617) 338-5333,modern american,moderate,restaurant
86,No Name Restaurant,east,15 Fish Pier St E,(617) 338-7539,seafood,expensive,restaurant
182,Kaze Shabu Shabu,centre,1 Harrison Ave,(617) 338-8283,japanese,moderate,restaurant
45,Blue Dragon,east,324 A St,(617) 338-8585,panasian,moderate,restaurant
54,Hei La Moon,centre,88 Beach St,(617) 338-8813,chinese,moderate,restaurant
58,"Pastoral - Artisan Pizza, Kitchen & Bar",east,345 Congress St,(617) 345-0005,italian,moderate,restaurant
79,Strega Waterfront,east,56 Northern Ave On GPS,(617) 345-3992,italian,moderate,restaurant
5,Yankee Lobster,east,300 Northern Ave,(617) 345-9799,seafood,moderate,restaurant
127,Yankee Lobster,east,300 Northern Ave,(617) 345-9799,seafood,moderate,restaurant
219,The Boathouse,north,49 Mt Auburn St,(617) 349-1650,modern american,moderate,restaurant
247,Muqueca Restaurant,centre,1008 Cambridge St,(617) 354-3296,latin american,moderate,restaurant
232,Mae Asian Eatery,centre,781 Main St,(617) 354-3388,modern american,cheap,restaurant
210,Toscano,north,52 Brattle St,(617) 354-5250,italian,moderate,restaurant
271,Life Alive,centre,765 Mass Ave,(617) 354-5433,vegetarian,moderate,restaurant
228,Orinoco,north,56 John F Kennedy St,(617) 354-6900,latin american,moderate,restaurant
291,Rangzen Tibetan Place,centre,24 Pearl St,(617) 354-8881,asian oriental,moderate,restaurant
187,KAVA neo-taverna,south,315 Shawmut Ave,(617) 356-1100,greek,moderate,restaurant
82,Lucky’s Lounge,east,355 Congress St,(617) 357-5825,bistro,cheap,restaurant
42,Pomodoro,north,351 Hanover St,(617) 367-4348,italian,cheap,restaurant
110,Pomodoro,north,351 Hanover St,(617) 367-4348,italian,cheap,restaurant
140,La Famiglia Giorgio’s,north,112 Salem St,(617) 367-6711,italian,expensive,restaurant
17,Lolita Cocina & Tequila Fort Point,east,253 Summer St,(617) 369-0931,mexican,moderate,restaurant
124,Lolita Cocina & Tequila Bar Back Bay,centre,271 Dartmouth St,(617) 369-5609,mexican,moderate,restaurant
37,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
102,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
199,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,expensive,restaurant
1,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
70,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
135,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
169,Orinoco,south,477 Shawmut Ave,(617) 369-7075,latin american,moderate,restaurant
98,Coppa Enoteca,south,253 Shawmut Ave,(617) 391-0902,italian,moderate,restaurant
145,Coppa Enoteca,south,253 Shawmut Ave,(617) 391-0902,italian,moderate,restaurant
189,KO Pies At the Shipyard,east,256 Marginal St,(617) 418-5234,australian,moderate,restaurant
130,Ostra,centre,1 Charles St S,(617) 421-1200,seafood,expensive,restaurant
172,Audubon Boston,centre,838 Beacon St,(617) 421-1910,north american,moderate,restaurant
176,Shun’s Kitchen,south,520 Columbus Ave,(617) 421-9588,japanese,cheap,restaurant
151,Marliave,centre,10 Bosworth St,(617) 422-0004,french,moderate,restaurant
115,Gaslight,south,560 Harrison Ave,(617) 422-0224,french,moderate,restaurant
14,Pete’s Dockside,south,12 Channel St,(617) 423-1110,north american,cheap,restaurant
11,James Hook & Co,east,15-17 Northern Ave,(617) 423-5501,seafood,moderate,restaurant
125,Shojo,centre,9A Tyler St,(617) 423-7888,panasian,moderate,restaurant
96,Shojo,centre,9A Tyler St,(617) 423-7888,panasian,expensive,restaurant
113,SOJUba,centre,1260 Boylston St,(617) 424-1260,korean,moderate,restaurant
138,The Gallows,south,1395 Washington St,(617) 425-0200,north american,moderate,restaurant
32,Barking Crab,east,88 Sleeper St,(617) 426-2722,seafood,moderate,restaurant
76,Temazcal Tequila Cantina,east,250 Northern Ave,(617) 439-3502,mexican,cheap,restaurant
296,Gran Gusto,centre,90 Sherman St,(617) 441-0400,italian,moderate,restaurant
